5.0	-3.0	-0.5
5.1	2.8	1.75
5.2	2.81	1.75
5.3	2.81	1.75
5.4	2.82	1.75
5.5	2.83	1.75
5.6	2.84	1.75
5.7	2.84	1.75
5.8	2.85	1.75
5.9	2.86	1.75
6.0	2.87	1.75
6.1	2.87	1.75
6.2	2.88	1.75
6.3	2.89	1.75
6.4	2.89	1.75
6.5	2.9	1.75
6.6	2.91	1.75
6.7	2.92	1.75
6.8	2.92	1.75
6.9	2.93	1.75
7.0	2.94	1.75
7.1	2.94	1.76
7.2	2.95	1.75
7.3	2.96	1.75
7.4	2.97	1.75
7.5	2.97	1.75
7.6	2.98	1.76
7.7	2.99	1.75
7.8	3.0	1.75
7.9	3.0	1.76
8.0	3.01	1.75
8.1	3.02	1.75
8.2	3.02	1.75
8.3	3.03	1.76
8.4	3.04	1.75
8.5	3.05	1.75
8.6	3.05	1.76
8.7	3.06	1.75
8.8	3.07	1.75
8.9	3.08	1.75
9.0	3.08	1.76
9.1	3.09	1.75
9.2	3.1	1.75
9.3	3.1	1.76
9.4	3.11	1.76
9.5	3.12	1.75
9.6	3.13	1.75
9.7	3.13	1.76
9.8	3.14	1.75
9.9	3.15	1.76
10.0	3.16	1.75
10.1	3.16	1.76
10.2	3.17	1.76
10.3	3.18	1.75
10.4	3.18	1.76
10.5	3.19	1.76
10.6	3.2	1.76
10.7	3.21	1.75
10.8	3.21	1.76
10.9	3.22	1.76
11.0	3.23	1.76
11.1	3.23	1.76
11.2	3.24	1.76
11.3	3.25	1.76
11.4	3.26	1.75
11.5	3.26	1.76
11.6	3.27	1.76
11.7	3.28	1.76
11.8	3.29	1.75
11.9	3.29	1.76
12.0	3.3	1.76
12.1	4.25	1.79
19.0	4.25	1.79
19.1	3.77	1.88
34.0	3.77	1.88
34.1    4.8     1.78
74.0	4.8	1.78
74.1	4.35	1.77
75.0	4.35	1.77
76.0	4.35	1.77
77.0	4.35	1.77
78.0	4.35	1.77
79.0	4.35	1.77
80.0	4.35	1.77
81.0	4.35	1.77
82.0	4.35	1.77
83.0	4.35	1.77
84.0	4.35	1.77
85.0	4.35	1.77
86.0	4.35	1.77
87.0	4.35	1.77
88.0	4.35	1.77
89.0	4.35	1.77
90.0	4.35	1.77
91.0	4.35	1.77
92.0	4.35	1.77
93.0	4.35	1.77
94.0	4.35	1.77
95.0	4.35	1.77
96.0	4.35	1.77
97.0	4.35	1.77
98.0	4.35	1.77
99.0	4.35	1.77
100.0	4.35	1.77
